fname,iD,length,label
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_548389.wav,548389,59,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_546936.wav,546936,32,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_546935.wav,546935,65,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_543800.wav,543800,36,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_542770.wav,542770,44,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539510.wav,539510,90,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539507.wav,539507,83,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539506.wav,539506,26,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539505.wav,539505,25,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539499.wav,539499,89,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539498.wav,539498,21,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539496.wav,539496,76,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539492.wav,539492,68,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539490.wav,539490,72,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539489.wav,539489,65,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_539486.wav,539486,21,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_538655.wav,538655,61,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_538569.wav,538569,41,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_538566.wav,538566,41,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_538407.wav,538407,90,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_537230.wav,537230,71,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_535729.wav,535729,87,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_535728.wav,535728,16,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_535727.wav,535727,39,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_535690.wav,535690,59,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_523649.wav,523649,60,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_521385.wav,521385,93,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_516954.wav,516954,13,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_512130.wav,512130,39,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_503965.wav,503965,28,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_502019.wav,502019,19,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_480640.wav,480640,46,0
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_478879.wav,478879,92,0
