iD,quality,length,country,url,birdName
548389,A,59,United Kingdom,www.xeno-canto.org/548389/download,Sturnus vulgaris
546936,A,32,France,www.xeno-canto.org/546936/download,Sturnus vulgaris
546935,A,65,France,www.xeno-canto.org/546935/download,Sturnus vulgaris
543800,A,36,Sweden,www.xeno-canto.org/543800/download,Sturnus vulgaris
542770,A,44,Poland,www.xeno-canto.org/542770/download,Sturnus vulgaris
539510,A,90,Ukraine,www.xeno-canto.org/539510/download,Sturnus vulgaris
539507,A,83,Ukraine,www.xeno-canto.org/539507/download,Sturnus vulgaris
539506,A,26,Ukraine,www.xeno-canto.org/539506/download,Sturnus vulgaris
539505,A,25,Ukraine,www.xeno-canto.org/539505/download,Sturnus vulgaris
539499,A,89,Ukraine,www.xeno-canto.org/539499/download,Sturnus vulgaris
539498,A,21,Ukraine,www.xeno-canto.org/539498/download,Sturnus vulgaris
539496,A,76,Ukraine,www.xeno-canto.org/539496/download,Sturnus vulgaris
539492,A,68,Ukraine,www.xeno-canto.org/539492/download,Sturnus vulgaris
539490,A,72,Ukraine,www.xeno-canto.org/539490/download,Sturnus vulgaris
539489,A,65,Ukraine,www.xeno-canto.org/539489/download,Sturnus vulgaris
539486,A,21,Ukraine,www.xeno-canto.org/539486/download,Sturnus vulgaris
538655,A,61,France,www.xeno-canto.org/538655/download,Sturnus vulgaris
538569,A,41,Poland,www.xeno-canto.org/538569/download,Sturnus vulgaris
538566,A,41,Poland,www.xeno-canto.org/538566/download,Sturnus vulgaris
538407,A,90,France,www.xeno-canto.org/538407/download,Sturnus vulgaris
537230,A,71,France,www.xeno-canto.org/537230/download,Sturnus vulgaris
535729,A,87,Ukraine,www.xeno-canto.org/535729/download,Sturnus vulgaris
535728,A,16,Ukraine,www.xeno-canto.org/535728/download,Sturnus vulgaris
535727,A,39,Ukraine,www.xeno-canto.org/535727/download,Sturnus vulgaris
535690,A,59,France,www.xeno-canto.org/535690/download,Sturnus vulgaris
523649,A,60,Mexico,www.xeno-canto.org/523649/download,Sturnus vulgaris
521385,A,93,South Africa,www.xeno-canto.org/521385/download,Sturnus vulgaris
516954,A,13,France,www.xeno-canto.org/516954/download,Sturnus vulgaris
512130,A,39,Spain,www.xeno-canto.org/512130/download,Sturnus vulgaris
503965,A,28,France,www.xeno-canto.org/503965/download,Sturnus vulgaris
502019,A,19,United Kingdom,www.xeno-canto.org/502019/download,Sturnus vulgaris
480640,A,46,Azerbaijan,www.xeno-canto.org/480640/download,Sturnus vulgaris
478879,A,92,Poland,www.xeno-canto.org/478879/download,Sturnus vulgaris
469036,A,66,United Kingdom,www.xeno-canto.org/469036/download,Sturnus vulgaris
465675,A,62,Germany,www.xeno-canto.org/465675/download,Sturnus vulgaris
465548,A,73,Italy,www.xeno-canto.org/465548/download,Sturnus vulgaris
462139,A,54,Poland,www.xeno-canto.org/462139/download,Sturnus vulgaris
449752,A,99,Sweden,www.xeno-canto.org/449752/download,Sturnus vulgaris
448655,A,64,Sweden,www.xeno-canto.org/448655/download,Sturnus vulgaris
431714,A,45,France,www.xeno-canto.org/431714/download,Sturnus vulgaris
425906,A,18,Norway,www.xeno-canto.org/425906/download,Sturnus vulgaris
425905,A,38,Norway,www.xeno-canto.org/425905/download,Sturnus vulgaris
425904,A,38,Norway,www.xeno-canto.org/425904/download,Sturnus vulgaris
425903,A,59,Norway,www.xeno-canto.org/425903/download,Sturnus vulgaris
423323,A,31,United States,www.xeno-canto.org/423323/download,Sturnus vulgaris
409373,A,43,Ukraine,www.xeno-canto.org/409373/download,Sturnus vulgaris
408383,A,47,Switzerland,www.xeno-canto.org/408383/download,Sturnus vulgaris
407479,A,90,Ukraine,www.xeno-canto.org/407479/download,Sturnus vulgaris
407397,A,75,United States,www.xeno-canto.org/407397/download,Sturnus vulgaris
405099,A,50,Netherlands,www.xeno-canto.org/405099/download,Sturnus vulgaris
394233,A,52,Italy,www.xeno-canto.org/394233/download,Sturnus vulgaris
390879,A,73,Norway,www.xeno-canto.org/390879/download,Sturnus vulgaris
387471,A,64,France,www.xeno-canto.org/387471/download,Sturnus vulgaris
383674,A,36,Norway,www.xeno-canto.org/383674/download,Sturnus vulgaris
