fname,iD,length,label
audiodata/wav/parus_major/parus_major_175104.wav,175104,17,6
audiodata/wav/parus_major/parus_major_98852.wav,98852,23,6
audiodata/wav/parus_major/parus_major_524972.wav,524972,46,6
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_466139.wav,466139,26,3
audiodata/wav/erithacus_rubecula/erithacus_rubecula_537142.wav,537142,42,8
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_98342.wav,98342,46,3
audiodata/wav/turdus_merula/turdus_merula_97141.wav,97141,74,12
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_409932.wav,409932,40,4
audiodata/wav/parus_major/parus_major_541515.wav,541515,87,6
audiodata/wav/parus_major/parus_major_534063.wav,534063,69,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_462697.wav,462697,96,4
audiodata/wav/parus_major/parus_major_129635.wav,129635,36,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_262615.wav,262615,53,7
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_357415.wav,357415,44,3
audiodata/wav/turdus_merula/turdus_merula_252966.wav,252966,49,12
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_542755.wav,542755,49,0
audiodata/wav/fringilla_coelebs/fringilla_coelebs_279471.wav,279471,27,7
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_133155.wav,133155,27,4
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_491905.wav,491905,61,4
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_488939.wav,488939,22,3
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_374183.wav,374183,88,4
audiodata/wav/parus_major/parus_major_384625.wav,384625,42,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_114360.wav,114360,29,7
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_535690.wav,535690,59,0
audiodata/wav/turdus_merula/turdus_merula_304729.wav,304729,58,12
audiodata/wav/columba_palumbus/columba_palumbus_449639.wav,449639,34,11
audiodata/wav/parus_major/parus_major_367537.wav,367537,22,6
audiodata/wav/carduelis_carduelis/carduelis_carduelis_330706.wav,330706,39,5
audiodata/wav/parus_major/parus_major_535323.wav,535323,76,6
audiodata/wav/parus_major/parus_major_411297.wav,411297,44,6
audiodata/wav/hirundo_rustica/hirundo_rustica_339821.wav,339821,12,10
audiodata/wav/turdus_merula/turdus_merula_210575.wav,210575,78,12
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_452989.wav,452989,43,3
audiodata/wav/fringilla_coelebs/fringilla_coelebs_361449.wav,361449,22,7
audiodata/wav/parus_major/parus_major_456247.wav,456247,11,6
audiodata/wav/turdus_merula/turdus_merula_132596.wav,132596,53,12
audiodata/wav/hirundo_rustica/hirundo_rustica_421348.wav,421348,31,10
audiodata/wav/linaria_cannabina/linaria_cannabina_445591.wav,445591,14,1
audiodata/wav/parus_major/parus_major_244467.wav,244467,74,6
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_536319.wav,536319,54,3
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_315681.wav,315681,22,4
audiodata/wav/parus_major/parus_major_367539.wav,367539,24,6
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_313810.wav,313810,60,0
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_103825.wav,103825,46,4
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_365057.wav,365057,57,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_26025.wav,26025,35,7
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_243595.wav,243595,18,3
audiodata/wav/columba_palumbus/columba_palumbus_372363.wav,372363,35,11
audiodata/wav/columba_palumbus/columba_palumbus_281216.wav,281216,12,11
audiodata/wav/passer_domesticus/passer_domesticus_432294.wav,432294,69,9
audiodata/wav/parus_major/parus_major_42775.wav,42775,58,6
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_367538.wav,367538,46,0
audiodata/wav/fringilla_coelebs/fringilla_coelebs_483980.wav,483980,15,7
audiodata/wav/passer_domesticus/passer_domesticus_479586.wav,479586,59,9
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_186058.wav,186058,15,4
audiodata/wav/turdus_merula/turdus_merula_318475.wav,318475,98,12
audiodata/wav/erithacus_rubecula/erithacus_rubecula_91155.wav,91155,38,8
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_254393.wav,254393,52,4
audiodata/wav/parus_major/parus_major_215985.wav,215985,45,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_446934.wav,446934,26,8
audiodata/wav/parus_major/parus_major_134527.wav,134527,39,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_135272.wav,135272,24,7
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_281579.wav,281579,26,4
audiodata/wav/turdus_merula/turdus_merula_45367.wav,45367,63,12
audiodata/wav/turdus_merula/turdus_merula_481902.wav,481902,99,12
audiodata/wav/parus_major/parus_major_330384.wav,330384,94,6
audiodata/wav/turdus_merula/turdus_merula_303743.wav,303743,51,12
audiodata/wav/linaria_cannabina/linaria_cannabina_181571.wav,181571,54,1
audiodata/wav/parus_major/parus_major_430987.wav,430987,51,6
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_358945.wav,358945,86,0
audiodata/wav/turdus_merula/turdus_merula_168318.wav,168318,27,12
audiodata/wav/parus_major/parus_major_298113.wav,298113,29,6
audiodata/wav/passer_domesticus/passer_domesticus_52000.wav,52000,70,9
audiodata/wav/parus_major/parus_major_457025.wav,457025,78,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_245723.wav,245723,51,7
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_295918.wav,295918,55,0
audiodata/wav/parus_major/parus_major_304752.wav,304752,54,6
audiodata/wav/linaria_cannabina/linaria_cannabina_502397.wav,502397,18,1
audiodata/wav/carduelis_carduelis/carduelis_carduelis_236906.wav,236906,46,5
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_466006.wav,466006,31,4
audiodata/wav/turdus_merula/turdus_merula_92454.wav,92454,97,12
audiodata/wav/erithacus_rubecula/erithacus_rubecula_503959.wav,503959,77,8
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_542770.wav,542770,44,0
audiodata/wav/regulus_regulus/regulus_regulus_319224.wav,319224,67,2
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_368760.wav,368760,51,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_205203.wav,205203,44,7
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_484716.wav,484716,34,3
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_170913.wav,170913,35,3
audiodata/wav/turdus_merula/turdus_merula_314165.wav,314165,99,12
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_362835.wav,362835,25,4
audiodata/wav/parus_major/parus_major_133123.wav,133123,41,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_215804.wav,215804,89,4
audiodata/wav/carduelis_carduelis/carduelis_carduelis_473311.wav,473311,41,5
audiodata/wav/parus_major/parus_major_519493.wav,519493,13,6
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_475455.wav,475455,35,3
audiodata/wav/parus_major/parus_major_538583.wav,538583,63,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_253087.wav,253087,20,4
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_520699.wav,520699,23,3
audiodata/wav/parus_major/parus_major_312682.wav,312682,72,6
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_184545.wav,184545,35,3
audiodata/wav/erithacus_rubecula/erithacus_rubecula_138838.wav,138838,58,8
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_546936.wav,546936,32,0
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_432043.wav,432043,38,4
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_163672.wav,163672,27,3
audiodata/wav/fringilla_coelebs/fringilla_coelebs_473283.wav,473283,37,7
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_164906.wav,164906,27,3
audiodata/wav/fringilla_coelebs/fringilla_coelebs_81033.wav,81033,77,7
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_378159.wav,378159,77,4
audiodata/wav/parus_major/parus_major_469540.wav,469540,70,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_105017.wav,105017,28,7
audiodata/wav/parus_major/parus_major_368346.wav,368346,48,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_497780.wav,497780,74,8
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_435796.wav,435796,70,4
audiodata/wav/hirundo_rustica/hirundo_rustica_197713.wav,197713,60,10
audiodata/wav/carduelis_carduelis/carduelis_carduelis_399900.wav,399900,11,5
audiodata/wav/hirundo_rustica/hirundo_rustica_361807.wav,361807,82,10
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_172695.wav,172695,47,4
audiodata/wav/parus_major/parus_major_536344.wav,536344,56,6
audiodata/wav/regulus_regulus/regulus_regulus_347416.wav,347416,31,2
audiodata/wav/parus_major/parus_major_355499.wav,355499,32,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_268175.wav,268175,12,7
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_199315.wav,199315,64,0
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_546101.wav,546101,85,4
audiodata/wav/parus_major/parus_major_170321.wav,170321,45,6
audiodata/wav/parus_major/parus_major_358601.wav,358601,23,6
audiodata/wav/turdus_merula/turdus_merula_476942.wav,476942,81,12
audiodata/wav/erithacus_rubecula/erithacus_rubecula_78233.wav,78233,49,8
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_334961.wav,334961,99,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_109886.wav,109886,19,7
audiodata/wav/regulus_regulus/regulus_regulus_72841.wav,72841,15,2
audiodata/wav/turdus_merula/turdus_merula_170268.wav,170268,67,12
audiodata/wav/fringilla_coelebs/fringilla_coelebs_278571.wav,278571,16,7
audiodata/wav/fringilla_coelebs/fringilla_coelebs_364824.wav,364824,88,7
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_484195.wav,484195,46,4
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_528258.wav,528258,72,3
audiodata/wav/carduelis_carduelis/carduelis_carduelis_405839.wav,405839,37,5
audiodata/wav/fringilla_coelebs/fringilla_coelebs_349841.wav,349841,19,7
audiodata/wav/parus_major/parus_major_462704.wav,462704,41,6
audiodata/wav/carduelis_carduelis/carduelis_carduelis_286964.wav,286964,28,5
audiodata/wav/fringilla_coelebs/fringilla_coelebs_105130.wav,105130,64,7
audiodata/wav/parus_major/parus_major_196370.wav,196370,88,6
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_314200.wav,314200,11,0
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_396148.wav,396148,30,4
audiodata/wav/turdus_merula/turdus_merula_527943.wav,527943,84,12
audiodata/wav/erithacus_rubecula/erithacus_rubecula_351035.wav,351035,28,8
audiodata/wav/passer_domesticus/passer_domesticus_144441.wav,144441,59,9
audiodata/wav/erithacus_rubecula/erithacus_rubecula_45930.wav,45930,36,8
audiodata/wav/hirundo_rustica/hirundo_rustica_318261.wav,318261,68,10
audiodata/wav/turdus_merula/turdus_merula_135564.wav,135564,75,12
audiodata/wav/hirundo_rustica/hirundo_rustica_361814.wav,361814,40,10
audiodata/wav/parus_major/parus_major_132623.wav,132623,22,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_104100.wav,104100,36,4
audiodata/wav/hirundo_rustica/hirundo_rustica_190319.wav,190319,87,10
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_354631.wav,354631,29,3
audiodata/wav/turdus_merula/turdus_merula_152996.wav,152996,59,12
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_328402.wav,328402,89,0
audiodata/wav/fringilla_coelebs/fringilla_coelebs_180059.wav,180059,17,7
audiodata/wav/turdus_merula/turdus_merula_134316.wav,134316,34,12
audiodata/wav/parus_major/parus_major_460324.wav,460324,99,6
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_284737.wav,284737,22,0
audiodata/wav/turdus_merula/turdus_merula_413081.wav,413081,52,12
audiodata/wav/parus_major/parus_major_227393.wav,227393,52,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_209409.wav,209409,43,8
audiodata/wav/parus_major/parus_major_396805.wav,396805,62,6
audiodata/wav/carduelis_carduelis/carduelis_carduelis_45855.wav,45855,25,5
audiodata/wav/carduelis_carduelis/carduelis_carduelis_101464.wav,101464,41,5
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_172587.wav,172587,26,0
audiodata/wav/turdus_merula/turdus_merula_413882.wav,413882,18,12
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_209102.wav,209102,58,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_313324.wav,313324,85,7
audiodata/wav/parus_major/parus_major_467945.wav,467945,69,6
audiodata/wav/parus_major/parus_major_167421.wav,167421,34,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_313815.wav,313815,55,8
audiodata/wav/turdus_merula/turdus_merula_364872.wav,364872,68,12
audiodata/wav/parus_major/parus_major_533769.wav,533769,13,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_490371.wav,490371,49,4
audiodata/wav/columba_palumbus/columba_palumbus_35082.wav,35082,16,11
