iD,quality,length,country,url,birdName
545422,no score,8,Netherlands,www.xeno-canto.org/545422/download,Sturnus vulgaris
545404,no score,4,Netherlands,www.xeno-canto.org/545404/download,Sturnus vulgaris
545403,no score,5,Netherlands,www.xeno-canto.org/545403/download,Sturnus vulgaris
545402,no score,7,Netherlands,www.xeno-canto.org/545402/download,Sturnus vulgaris
545400,no score,5,Netherlands,www.xeno-canto.org/545400/download,Sturnus vulgaris
544656,no score,32,Spain,www.xeno-canto.org/544656/download,Sturnus vulgaris
538807,no score,703,France,www.xeno-canto.org/538807/download,Sturnus vulgaris
538805,no score,898,France,www.xeno-canto.org/538805/download,Sturnus vulgaris
538800,no score,526,France,www.xeno-canto.org/538800/download,Sturnus vulgaris
538791,no score,900,France,www.xeno-canto.org/538791/download,Sturnus vulgaris
538725,no score,30,France,www.xeno-canto.org/538725/download,Sturnus vulgaris
538723,no score,54,France,www.xeno-canto.org/538723/download,Sturnus vulgaris
538677,no score,96,France,www.xeno-canto.org/538677/download,Sturnus vulgaris
538676,no score,899,France,www.xeno-canto.org/538676/download,Sturnus vulgaris
538675,no score,899,France,www.xeno-canto.org/538675/download,Sturnus vulgaris
538660,no score,892,France,www.xeno-canto.org/538660/download,Sturnus vulgaris
538344,no score,371,Netherlands,www.xeno-canto.org/538344/download,Sturnus vulgaris
536617,no score,44,Iceland,www.xeno-canto.org/536617/download,Sturnus vulgaris
528510,no score,4,Netherlands,www.xeno-canto.org/528510/download,Sturnus vulgaris
528147,no score,86,Netherlands,www.xeno-canto.org/528147/download,Sturnus vulgaris
528143,no score,141,Netherlands,www.xeno-canto.org/528143/download,Sturnus vulgaris
525308,no score,106,Germany,www.xeno-canto.org/525308/download,Sturnus vulgaris
524212,no score,32,Germany,www.xeno-canto.org/524212/download,Sturnus vulgaris
515519,no score,1345,Portugal,www.xeno-canto.org/515519/download,Sturnus vulgaris
479171,no score,626,Ireland,www.xeno-canto.org/479171/download,Sturnus vulgaris
434713,no score,99,France,www.xeno-canto.org/434713/download,Sturnus vulgaris
549424,A,67,United States,www.xeno-canto.org/549424/download,Sturnus vulgaris
548389,A,59,United Kingdom,www.xeno-canto.org/548389/download,Sturnus vulgaris
546936,A,32,France,www.xeno-canto.org/546936/download,Sturnus vulgaris
546935,A,65,France,www.xeno-canto.org/546935/download,Sturnus vulgaris
546110,A,180,Ukraine,www.xeno-canto.org/546110/download,Sturnus vulgaris
546046,A,161,Germany,www.xeno-canto.org/546046/download,Sturnus vulgaris
